ID,Users,Memory,CPU,CartReplicas,Metric,createOrder,basket,getCatalogue,getItem,getCart,login,getOrders,catalogue,home,tags,getCustomer,viewOrdersPage,cataloguePage,getRelated,addToCart,catalogueSize,getAddress,getCard,showDetails
30,100,1,0.5,1,Avg (sec),0.007,0.002,0.004,0.005,0.007,0.012,0.007,0.001,0.001,0.004,0.005,0.001,0.004,0.005,0.003,0.005,0.005,0.005,0.001
30,100,1,0.5,1,SD (sec),0.008,0.002,0.002,0.008,0.011,0.013,0.008,0.002,0.002,0.007,0.008,0.002,0.002,0.007,0.007,0.008,0.008,0.007,0.001
30,100,1,0.5,1,Mix % (take failure into account),0.0131,0.0131,0.113,0.0958,0.226,0.0261,0.026,0.0304,0.0998,0.0304,0.113,0.026,0.0304,0.0435,0.0132,0.0304,0.0131,0.0131,0.0435
31,250,1,0.5,1,Avg (sec),0.06,0.002,0.427,0.431,0.316,0.518,0.054,0.002,0.002,0.425,0.205,0.002,0.422,0.43,0.003,0.423,0.206,0.2,0.002
31,250,1,0.5,1,SD (sec),0.223,0.004,0.494,0.494,0.462,0.612,0.212,0.004,0.004,0.493,0.399,0.003,0.493,0.494,0.008,0.493,0.4,0.395,0.004
31,250,1,0.5,1,Mix % (take failure into account),0.0132,0.0132,0.1127,0.096,0.2259,0.026,0.0259,0.0304,0.0995,0.0304,0.1132,0.0259,0.0304,0.0436,0.0132,0.0304,0.0132,0.0132,0.0436
32,50,1,0.25,1,Avg (sec),0.007,0.001,0.004,0.005,0.009,0.022,0.008,0.001,0.001,0.004,0.005,0.001,0.004,0.005,0.003,0.005,0.004,0.005,0.001
32,50,1,0.25,1,SD (sec),0.007,0.001,0.002,0.007,0.015,0.026,0.008,0.001,0.001,0.007,0.007,0.001,0.002,0.007,0.008,0.008,0.006,0.007,0.001
32,50,1,0.25,1,Mix % (take failure into account),0.0128,0.0128,0.1134,0.0952,0.2263,0.0261,0.0261,0.0305,0.1006,0.0306,0.1129,0.0261,0.0306,0.0435,0.0128,0.0306,0.0128,0.0128,0.0434
33,300,1,0.5,1,Avg (sec),0.054,0.002,0.429,0.427,0.32,0.521,0.053,0.002,0.002,0.429,0.211,0.002,0.424,0.431,0.003,0.428,0.214,0.207,0.002
33,300,1,0.5,1,SD (sec),0.209,0.006,0.494,0.493,0.463,0.614,0.208,0.005,0.005,0.494,0.403,0.005,0.493,0.494,0.008,0.494,0.406,0.4,0.006
33,300,1,0.5,1,Mix % (take failure into account),0.013,0.013,0.1131,0.0956,0.2261,0.0262,0.0262,0.0304,0.1001,0.0304,0.113,0.0262,0.0304,0.0434,0.013,0.0304,0.013,0.013,0.0434
34,100,1,0.25,4,Avg (sec),0.008,0.002,0.004,0.005,0.046,0.063,0.007,0.002,0.002,0.005,0.005,0.001,0.004,0.005,0.003,0.005,0.005,0.005,0.002
34,100,1,0.25,4,SD (sec),0.008,0.002,0.002,0.008,0.47,0.492,0.008,0.002,0.002,0.007,0.007,0.001,0.003,0.008,0.008,0.008,0.008,0.008,0.002
34,100,1,0.25,4,Mix % (take failure into account),0.013,0.013,0.1132,0.0957,0.2261,0.0263,0.0263,0.0303,0.1001,0.0303,0.113,0.0263,0.0303,0.0433,0.013,0.0303,0.013,0.013,0.0433
35,250,0.5,0.25,2,Avg (sec),0.007,0.002,0.004,0.005,5.109,3.632,0.007,0.002,0.002,0.005,0.005,0.002,0.004,0.005,0.003,0.005,0.006,0.005,0.002
35,250,0.5,0.25,2,SD (sec),0.007,0.001,0.003,0.008,6.853,5.5,0.008,0.002,0.002,0.008,0.008,0.002,0.003,0.008,0.008,0.008,0.008,0.008,0.002
35,250,0.5,0.25,2,Mix % (take failure into account),0.013,0.013,0.1132,0.0956,0.2255,0.0261,0.0262,0.0305,0.1003,0.0305,0.1131,0.0262,0.0305,0.0434,0.013,0.0305,0.013,0.013,0.0434
36,250,1,0.5,4,Avg (sec),0.054,0.002,0.427,0.431,0.322,0.522,0.054,0.002,0.002,0.436,0.21,0.002,0.428,0.427,0.003,0.438,0.211,0.21,0.002
36,250,1,0.5,4,SD (sec),0.21,0.004,0.494,0.494,0.464,0.611,0.21,0.004,0.004,0.495,0.403,0.004,0.494,0.493,0.007,0.495,0.403,0.403,0.003
36,250,1,0.5,4,Mix % (take failure into account),0.013,0.013,0.1132,0.0956,0.2261,0.0262,0.0262,0.0303,0.1002,0.0303,0.113,0.0262,0.0303,0.0434,0.013,0.0303,0.013,0.013,0.0434
37,200,1,0.5,2,Avg (sec),0.051,0.002,0.419,0.428,0.313,0.503,0.052,0.002,0.002,0.417,0.203,0.002,0.422,0.43,0.003,0.421,0.21,0.203,0.002
37,200,1,0.5,2,SD (sec),0.205,0.002,0.492,0.494,0.461,0.613,0.208,0.002,0.002,0.492,0.398,0.002,0.493,0.494,0.008,0.492,0.403,0.398,0.002
37,200,1,0.5,2,Mix % (take failure into account),0.0131,0.0131,0.1128,0.0957,0.226,0.0258,0.0259,0.0306,0.0997,0.0306,0.1131,0.0258,0.0306,0.0436,0.0131,0.0306,0.0131,0.0131,0.0436
38,300,0.5,0.5,1,Avg (sec),0.058,0.003,0.426,0.43,0.329,0.519,0.055,0.002,0.002,0.43,0.21,0.002,0.424,0.431,0.003,0.431,0.205,0.202,0.002
38,300,0.5,0.5,1,SD (sec),0.218,0.006,0.493,0.494,0.467,0.605,0.211,0.006,0.007,0.494,0.403,0.008,0.493,0.494,0.009,0.494,0.398,0.397,0.006
38,300,0.5,0.5,1,Mix % (take failure into account),0.0129,0.0129,0.1133,0.0953,0.2262,0.026,0.026,0.0307,0.1004,0.0306,0.113,0.026,0.0306,0.0435,0.0128,0.0307,0.0129,0.0129,0.0435
39,150,1,0.25,4,Avg (sec),0.01,0.002,0.029,0.031,0.277,0.18,0.009,0.002,0.002,0.029,0.014,0.002,0.028,0.028,0.003,0.031,0.013,0.013,0.002
39,150,1,0.25,4,SD (sec),0.053,0.002,0.154,0.156,1.467,1,0.042,0.002,0.002,0.152,0.089,0.002,0.152,0.146,0.007,0.156,0.085,0.084,0.002
39,150,1,0.25,4,Mix % (take failure into account),0.0131,0.0131,0.113,0.0957,0.2259,0.0262,0.0261,0.0304,0.1,0.0304,0.1131,0.0262,0.0304,0.0434,0.0131,0.0304,0.0131,0.0131,0.0434
40,150,1,0.5,4,Avg (sec),0.011,0.002,0.066,0.065,0.048,0.077,0.011,0.002,0.002,0.065,0.027,0.002,0.067,0.064,0.003,0.066,0.03,0.03,0.002
40,150,1,0.5,4,SD (sec),0.062,0.002,0.24,0.237,0.195,0.258,0.063,0.002,0.002,0.237,0.146,0.002,0.242,0.235,0.008,0.237,0.153,0.155,0.002
40,150,1,0.5,4,Mix % (take failure into account),0.013,0.013,0.1132,0.0956,0.2262,0.0263,0.0263,0.0303,0.1002,0.0303,0.113,0.0263,0.0303,0.0434,0.013,0.0303,0.013,0.013,0.0434
41,200,0.5,0.5,4,Avg (sec),0.052,0.002,0.417,0.424,0.314,0.514,0.053,0.002,0.002,0.417,0.205,0.002,0.424,0.419,0.003,0.439,0.21,0.195,0.002
41,200,0.5,0.5,4,SD (sec),0.207,0.002,0.492,0.493,0.461,0.609,0.208,0.002,0.002,0.492,0.4,0.002,0.493,0.492,0.007,0.495,0.403,0.392,0.002
41,200,0.5,0.5,4,Mix % (take failure into account),0.013,0.0131,0.1131,0.0957,0.2261,0.0261,0.0261,0.0304,0.1,0.0304,0.113,0.0261,0.0304,0.0435,0.0131,0.0304,0.0131,0.013,0.0435
42,50,0.5,0.5,1,Avg (sec),0.007,0.001,0.004,0.005,0.008,0.015,0.008,0.001,0.001,0.005,0.005,0.001,0.004,0.005,0.003,0.005,0.005,0.005,0.001
42,50,0.5,0.5,1,SD (sec),0.007,0.001,0.001,0.008,0.014,0.015,0.008,0.001,0.001,0.008,0.008,0.001,0.002,0.008,0.008,0.008,0.007,0.007,0.001
42,50,0.5,0.5,1,Mix % (take failure into account),0.0133,0.0133,0.1125,0.0961,0.2258,0.0257,0.0258,0.0305,0.0993,0.0305,0.1133,0.0258,0.0305,0.0438,0.0132,0.0305,0.0133,0.0133,0.0437
43,200,1,0.25,2,Avg (sec),0.042,0.002,0.323,0.321,1.032,1.013,0.048,0.002,0.002,0.319,0.159,0.002,0.307,0.324,0.003,0.321,0.157,0.16,0.002
43,200,1,0.25,2,SD (sec),0.184,0.002,0.466,0.465,2.698,2.263,0.197,0.002,0.002,0.464,0.36,0.002,0.459,0.466,0.008,0.464,0.358,0.361,0.002
43,200,1,0.25,2,Mix % (take failure into account),0.0131,0.0131,0.1131,0.0958,0.2258,0.0262,0.0262,0.0304,0.1001,0.0303,0.113,0.0262,0.0303,0.0434,0.0131,0.0303,0.0131,0.0131,0.0434
44,150,0.5,0.25,2,Avg (sec),0.007,0.002,0.004,0.005,4.221,1.668,0.008,0.002,0.001,0.005,0.005,0.002,0.004,0.005,0.003,0.005,0.006,0.005,0.002
44,150,0.5,0.25,2,SD (sec),0.007,0.002,0.002,0.008,6.092,3.151,0.008,0.002,0.001,0.008,0.008,0.002,0.003,0.008,0.008,0.008,0.008,0.007,0.002
44,150,0.5,0.25,2,Mix % (take failure into account),0.0133,0.0132,0.1128,0.0961,0.2255,0.0261,0.0261,0.0303,0.0995,0.0303,0.1132,0.0261,0.0303,0.0436,0.0132,0.0303,0.0133,0.0133,0.0436
45,100,0.5,0.5,2,Avg (sec),0.007,0.002,0.004,0.005,0.008,0.014,0.007,0.001,0.001,0.005,0.005,0.001,0.004,0.005,0.003,0.005,0.005,0.005,0.002
