"date";"requests"
2016-07-16 01:00:00;1165944
2016-07-16 02:00:00;395065
2016-07-16 03:00:00;294355
2016-07-16 04:00:00;266112
2016-07-16 05:00:00;340026
2016-07-16 06:00:00;475597
2016-07-16 07:00:00;589541
2016-07-16 08:00:00;554465
2016-07-16 09:00:00;712104
2016-07-16 10:00:00;780322
2016-07-16 11:00:00;812056
2016-07-16 12:00:00;829641
2016-07-16 13:00:00;839140
2016-07-16 14:00:00;822880
2016-07-16 15:00:00;877801
2016-07-16 16:00:00;896586
2016-07-16 17:00:00;910579
2016-07-16 18:00:00;959000
2016-07-16 19:00:00;939779
2016-07-16 20:00:00;901611
2016-07-16 21:00:00;904107
2016-07-16 22:00:00;787714
2016-07-16 23:00:00;641199
2016-07-17 00:00:00;488785
2016-07-17 01:00:00;408308
2016-07-17 02:00:00;406202
2016-07-17 03:00:00;359248
2016-07-17 04:00:00;263729
2016-07-17 05:00:00;243107
2016-07-17 06:00:00;332789
2016-07-17 07:00:00;464053
2016-07-17 08:00:00;737534
2016-07-17 09:00:00;970516
2016-07-17 10:00:00;990024
2016-07-17 11:00:00;988505
2016-07-17 12:00:00;994109
2016-07-17 13:00:00;1029019
2016-07-17 14:00:00;1088175
2016-07-17 15:00:00;1173761
2016-07-17 16:00:00;1130366
2016-07-17 17:00:00;1045389
2016-07-17 18:00:00;1054527
2016-07-17 19:00:00;1104194
2016-07-17 20:00:00;1222670
2016-07-17 21:00:00;1204211
2016-07-17 22:00:00;940677
2016-07-17 23:00:00;638080
2016-07-18 00:00:00;461584
2016-07-18 01:00:00;356875
2016-07-18 02:00:00;321527
2016-07-18 03:00:00;373155
2016-07-18 04:00:00;354524
2016-07-18 05:00:00;397590
2016-07-18 06:00:00;582905
2016-07-18 07:00:00;927431
2016-07-18 08:00:00;1185762
2016-07-18 09:00:00;1421008
2016-07-18 10:00:00;1565515
2016-07-18 11:00:00;1493719
2016-07-18 12:00:00;1487827
2016-07-18 13:00:00;1550029
2016-07-18 14:00:00;1523063
2016-07-18 15:00:00;1629793
2016-07-18 16:00:00;1235747
2016-07-18 17:00:00;980235
2016-07-18 18:00:00;893678
2016-07-18 19:00:00;953696
2016-07-18 20:00:00;1003809
2016-07-18 21:00:00;1005183
2016-07-18 22:00:00;827239
2016-07-18 23:00:00;614067
2016-07-19 00:00:00;451226
2016-07-19 01:00:00;372116
2016-07-19 02:00:00;315441
2016-07-19 03:00:00;289826
2016-07-19 04:00:00;262747
2016-07-19 05:00:00;361118
2016-07-19 06:00:00;555804
2016-07-19 07:00:00;899171
2016-07-19 08:00:00;1140030
2016-07-19 09:00:00;1282598
2016-07-19 10:00:00;1361527
2016-07-19 11:00:00;1305429
2016-07-19 12:00:00;1395008
2016-07-19 13:00:00;1468736
2016-07-19 14:00:00;1421254
2016-07-19 15:00:00;1289918
2016-07-19 16:00:00;1081144
2016-07-19 17:00:00;930175
2016-07-19 18:00:00;863852
2016-07-19 19:00:00;902087
2016-07-19 20:00:00;980849
2016-07-19 21:00:00;956844
2016-07-19 22:00:00;774524
2016-07-19 23:00:00;576308
2016-07-20 00:00:00;420469
2016-07-20 01:00:00;339483
2016-07-20 02:00:00;289856
2016-07-20 03:00:00;273655
2016-07-20 04:00:00;224687
2016-07-20 05:00:00;298673
2016-07-20 06:00:00;507967
2016-07-20 07:00:00;911956
2016-07-20 08:00:00;1219188
2016-07-20 09:00:00;1384394
2016-07-20 10:00:00;1477903
2016-07-20 11:00:00;1386217
2016-07-20 12:00:00;1442496
2016-07-20 13:00:00;1484816
2016-07-20 14:00:00;1428289
2016-07-20 15:00:00;1329199
2016-07-20 16:00:00;1070027
2016-07-20 17:00:00;944716
2016-07-20 18:00:00;867457
2016-07-20 19:00:00;916776
2016-07-20 20:00:00;985111
2016-07-20 21:00:00;936215
2016-07-20 22:00:00;785189
2016-07-20 23:00:00;609691
2016-07-21 00:00:00;442332
2016-07-21 01:00:00;368570
2016-07-21 02:00:00;319269
2016-07-21 03:00:00;303205
2016-07-21 04:00:00;305573
2016-07-21 05:00:00;392127
2016-07-21 06:00:00;611683
2016-07-21 07:00:00;951759
2016-07-21 08:00:00;1195142
2016-07-21 09:00:00;1370308
2016-07-21 10:00:00;1472327
2016-07-21 11:00:00;1489420
2016-07-21 12:00:00;1455744
2016-07-21 13:00:00;1646369
2016-07-21 14:00:00;1496144
2016-07-21 15:00:00;1275021
2016-07-21 16:00:00;1081370
2016-07-21 17:00:00;936482
2016-07-21 18:00:00;887381
2016-07-21 19:00:00;927003
2016-07-21 20:00:00;986743
2016-07-21 21:00:00;937969
2016-07-21 22:00:00;797595
2016-07-21 23:00:00;656742
2016-07-22 00:00:00;454808
2016-07-22 01:00:00;364545
2016-07-22 02:00:00;302878
2016-07-22 03:00:00;275627
2016-07-22 04:00:00;272566
2016-07-22 05:00:00;371647
2016-07-22 06:00:00;589328
2016-07-22 07:00:00;918826
2016-07-22 08:00:00;1153861
2016-07-22 09:00:00;1321412
2016-07-22 10:00:00;1390554
2016-07-22 11:00:00;1277535
2016-07-22 12:00:00;1258498
2016-07-22 13:00:00;1187695
2016-07-22 14:00:00;1141984
2016-07-22 15:00:00;1036969
2016-07-22 16:00:00;921582
2016-07-22 17:00:00;860414
2016-07-22 18:00:00;769734
2016-07-22 19:00:00;783991
2016-07-22 20:00:00;855568
2016-07-22 21:00:00;864023
2016-07-22 22:00:00;738885
2016-07-22 23:00:00;617046
2016-07-23 00:00:00;470589
2016-07-23 01:00:00;382358
2016-07-23 02:00:00;330004
2016-07-23 03:00:00;210525
2016-07-23 04:00:00;191928
2016-07-23 05:00:00;222800
2016-07-23 06:00:00;290544
2016-07-23 07:00:00;457829
2016-07-23 08:00:00;562411
2016-07-23 09:00:00;696222
2016-07-23 10:00:00;781844
2016-07-23 11:00:00;823177
2016-07-23 12:00:00;893930
2016-07-23 13:00:00;994352
2016-07-23 14:00:00;965964
2016-07-23 15:00:00;982239
2016-07-23 16:00:00;953071
2016-07-23 17:00:00;1000710
2016-07-23 18:00:00;937301
2016-07-23 19:00:00;1014264
2016-07-23 20:00:00;963288
2016-07-23 21:00:00;997677
2016-07-23 22:00:00;830850
2016-07-23 23:00:00;735479
2016-07-24 00:00:00;551765
2016-07-24 01:00:00;472215
2016-07-24 02:00:00;387986
2016-07-24 03:00:00;370915
2016-07-24 04:00:00;312883
