ID,Users,Memory,CPU,CartReplicas,Metric,createOrder,basket,getCatalogue,getItem,getCart,login,getOrders,catalogue,home,tags,getCustomer,viewOrdersPage,cataloguePage,getRelated,addToCart,catalogueSize,getAddress,getCard,showDetails
9,200,8,0.5,4,Avg (sec),0.057,0.002,0.42,0.42,0.314,0.515,0.055,0.002,0.002,0.432,0.205,0.002,0.417,0.42,0.003,0.42,0.209,0.199,0.002
9,200,8,0.5,4,SD (sec),0.217,0.002,0.492,0.492,0.461,0.61,0.213,0.003,0.002,0.494,0.399,0.002,0.492,0.492,0.008,0.492,0.402,0.395,0.002
9,200,8,0.5,4,Mix % (take failure into account),0.013,0.013,0.1131,0.0957,0.2261,0.0263,0.0263,0.0303,0.1001,0.0303,0.113,0.0263,0.0303,0.0433,0.0131,0.0303,0.013,0.013,0.0434
10,150,16,0.5,2,Avg (sec),0.011,0.002,0.061,0.062,0.045,0.067,0.013,0.002,0.002,0.063,0.026,0.002,0.056,0.064,0.003,0.06,0.034,0.025,0.002
10,150,16,0.5,2,SD (sec),0.062,0.002,0.231,0.231,0.192,0.239,0.075,0.002,0.002,0.235,0.142,0.002,0.222,0.235,0.007,0.227,0.167,0.136,0.002
10,150,16,0.5,2,Mix % (take failure into account),0.013,0.013,0.1133,0.0956,0.2262,0.0264,0.0264,0.0303,0.1004,0.0303,0.1129,0.0264,0.0303,0.0432,0.013,0.0303,0.013,0.013,0.0432
11,300,16,0.25,1,Avg (sec),0.052,0.002,0.416,0.415,0.371,0.612,0.054,0.002,0.002,0.42,0.2,0.002,0.414,0.421,0.003,0.409,0.197,0.206,0.002
11,300,16,0.25,1,SD (sec),0.206,0.008,0.492,0.491,0.546,0.705,0.21,0.007,0.006,0.492,0.395,0.006,0.491,0.492,0.007,0.49,0.393,0.399,0.006
11,300,16,0.25,1,Mix % (take failure into account),0.0129,0.013,0.1133,0.0954,0.2262,0.0263,0.0262,0.0304,0.1005,0.0303,0.1129,0.0262,0.0303,0.0434,0.013,0.0304,0.0129,0.0129,0.0434
12,200,8,0.5,1,Avg (sec),0.053,0.002,0.419,0.426,0.315,0.511,0.05,0.002,0.002,0.415,0.208,0.002,0.43,0.421,0.003,0.425,0.199,0.199,0.002
12,200,8,0.5,1,SD (sec),0.21,0.002,0.492,0.493,0.461,0.607,0.202,0.002,0.002,0.491,0.401,0.002,0.494,0.492,0.008,0.493,0.395,0.395,0.002
12,200,8,0.5,1,Mix % (take failure into account),0.0129,0.0129,0.1132,0.0953,0.2262,0.026,0.026,0.0306,0.1004,0.0306,0.113,0.026,0.0306,0.0435,0.0129,0.0306,0.0129,0.0129,0.0435
13,300,16,0.5,1,Avg (sec),0.058,0.002,0.431,0.43,0.32,0.524,0.053,0.002,0.002,0.427,0.211,0.002,0.43,0.433,0.003,0.431,0.221,0.209,0.002
13,300,16,0.5,1,SD (sec),0.218,0.006,0.494,0.494,0.464,0.614,0.207,0.007,0.007,0.493,0.404,0.009,0.494,0.494,0.008,0.494,0.41,0.402,0.007
13,300,16,0.5,1,Mix % (take failure into account),0.013,0.013,0.1132,0.0956,0.2261,0.0262,0.0262,0.0304,0.1002,0.0304,0.113,0.0262,0.0304,0.0434,0.013,0.0304,0.013,0.013,0.0434
14,150,16,0.25,1,Avg (sec),0.007,0.002,0.004,0.005,5.962,3.646,0.008,0.001,0.001,0.005,0.005,0.001,0.004,0.005,0.003,0.005,0.005,0.006,0.001
14,150,16,0.25,1,SD (sec),0.007,0.002,0.002,0.008,3.992,2.87,0.007,0.001,0.001,0.007,0.007,0.001,0.002,0.007,0.008,0.008,0.007,0.008,0.002
14,150,16,0.25,1,Mix % (take failure into account),0.0129,0.0131,0.1133,0.0955,0.2256,0.0263,0.0263,0.0303,0.1003,0.0303,0.1128,0.0263,0.0303,0.0435,0.0131,0.0303,0.0131,0.0131,0.0434
15,50,16,0.25,2,Avg (sec),0.008,0.002,0.004,0.005,0.01,0.022,0.008,0.001,0.001,0.004,0.005,0.001,0.004,0.005,0.003,0.005,0.005,0.005,0.001
15,50,16,0.25,2,SD (sec),0.008,0.001,0.002,0.008,0.016,0.026,0.007,0.001,0.001,0.007,0.007,0.001,0.002,0.007,0.008,0.008,0.007,0.008,0.001
15,50,16,0.25,2,Mix % (take failure into account),0.0133,0.0133,0.1126,0.0962,0.2258,0.0259,0.026,0.0303,0.0993,0.0303,0.1132,0.026,0.0303,0.0436,0.0133,0.0303,0.0133,0.0133,0.0436
16,100,8,0.25,1,Avg (sec),0.007,0.002,0.004,0.005,0.009,0.018,0.007,0.001,0.001,0.005,0.005,0.001,0.004,0.005,0.003,0.005,0.005,0.006,0.002
16,100,8,0.25,1,SD (sec),0.008,0.002,0.002,0.008,0.017,0.026,0.007,0.002,0.002,0.008,0.008,0.001,0.002,0.007,0.007,0.008,0.007,0.008,0.002
16,100,8,0.25,1,Mix % (take failure into account),0.013,0.013,0.1132,0.0956,0.2261,0.0263,0.0263,0.0304,0.1002,0.0303,0.1129,0.0263,0.0303,0.0433,0.013,0.0303,0.013,0.013,0.0433
17,300,8,0.25,2,Avg (sec),0.008,0.002,0.004,0.005,6.29,4.663,0.008,0.002,0.002,0.005,0.006,0.002,0.004,0.005,0.003,0.006,0.006,0.006,0.002
17,300,8,0.25,2,SD (sec),0.008,0.002,0.003,0.008,8.209,6.582,0.008,0.002,0.002,0.008,0.008,0.002,0.003,0.008,0.007,0.008,0.008,0.008,0.002
17,300,8,0.25,2,Mix % (take failure into account),0.0131,0.0132,0.1132,0.0961,0.2253,0.0263,0.0265,0.0301,0.1,0.0301,0.1131,0.0265,0.0301,0.0434,0.0132,0.0301,0.0132,0.0132,0.0433
18,50,8,0.5,2,Avg (sec),0.008,0.002,0.004,0.005,0.009,0.016,0.008,0.001,0.002,0.005,0.006,0.001,0.004,0.005,0.003,0.005,0.006,0.005,0.002
18,50,8,0.5,2,SD (sec),0.025,0.004,0.009,0.012,0.018,0.018,0.008,0.002,0.009,0.007,0.018,0.002,0.002,0.015,0.007,0.008,0.027,0.008,0.007
18,50,8,0.5,2,Mix % (take failure into account),0.0132,0.0132,0.1129,0.0961,0.2259,0.0262,0.0262,0.0302,0.0997,0.0302,0.113,0.0262,0.0302,0.0434,0.0132,0.0302,0.0132,0.0132,0.0434
19,300,16,0.25,4,Avg (sec),0.051,0.002,0.415,0.418,0.563,0.881,0.057,0.002,0.002,0.412,0.203,0.002,0.416,0.414,0.003,0.414,0.207,0.208,0.002
19,300,16,0.25,4,SD (sec),0.204,0.006,0.492,0.492,1.097,1.749,0.216,0.007,0.009,0.491,0.397,0.014,0.492,0.492,0.011,0.491,0.401,0.402,0.01
19,300,16,0.25,4,Mix % (take failure into account),0.013,0.013,0.1129,0.0955,0.226,0.0258,0.0258,0.0306,0.0999,0.0306,0.1132,0.0258,0.0306,0.0438,0.0131,0.0306,0.013,0.013,0.0437
