"Timestamp","User Count","Type","Name","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%","Total Request Count","Total Failure Count","Total Median Response Time","Total Average Response Time","Total Min Response Time","Total Max Response Time","Total Average Content Size"
"1600854611","1","POST","search_ticket",2.20,0.00,30,31,32,33,34,34,37,37,37,37,37,37,96,0,30,30,25,49,38
"1600854611","1","","Aggregated",3.10,0.00,29,31,31,31,33,34,37,37,37,37,37,37,135,0,29,26,9,53,5044
"1600854613","1","GET","home",0.90,0.00,13,13,15,16,17,17,17,17,17,17,17,17,41,0,13,15,9,53,17368
"1600854613","1","POST","search_ticket",2.40,0.00,29,31,33,33,34,34,37,37,37,37,37,37,100,0,30,30,25,49,38
"1600854613","1","","Aggregated",3.30,0.00,28,29,31,31,33,34,37,37,37,37,37,37,141,0,29,26,9,53,5077
"1600854615","1","GET","home",1.00,0.00,13,13,15,17,19,19,19,19,19,19,19,19,43,0,13,15,9,53,17368
"1600854615","1","POST","search_ticket",2.20,0.00,31,31,33,33,37,38,41,41,41,41,41,41,104,0,30,30,25,49,38
"1600854615","1","","Aggregated",3.20,0.00,28,31,31,33,34,38,41,41,41,41,41,41,147,0,29,26,9,53,5107
"1600854617","1","GET","home",0.90,0.00,13,13,17,19,20,20,20,20,20,20,20,20,45,0,13,15,9,53,17368
"1600854617","1","POST","search_ticket",2.20,0.00,31,31,33,34,38,41,41,41,41,41,41,41,108,0,30,30,25,49,38
"1600854617","1","","Aggregated",3.10,0.00,27,31,31,32,37,38,41,41,41,41,41,41,153,0,29,26,9,53,5135
"1600854619","1","GET","home",0.90,0.00,13,13,14,19,20,20,20,20,20,20,20,20,47,0,13,15,9,53,17368
"1600854619","1","POST","search_ticket",2.10,0.00,31,32,33,34,38,41,41,41,41,41,41,41,114,0,30,31,25,49,38
"1600854619","1","","Aggregated",3.00,0.00,29,31,32,32,38,38,41,41,41,41,41,41,161,0,29,26,9,53,5097
"1600854621","1","GET","home",0.90,0.00,14,19,20,20,25,25,25,25,25,25,25,25,48,0,13,15,9,53,17368
"1600854621","1","POST","search_ticket",2.00,0.00,31,32,33,37,38,38,41,41,41,41,41,41,117,0,30,31,25,49,38
"1600854621","1","","Aggregated",2.90,0.00,31,32,32,33,38,38,41,41,41,41,41,41,165,0,29,26,9,53,5079
"1600854623","1","GET","home",0.90,0.00,14,15,19,20,25,25,25,25,25,25,25,25,50,0,13,15,9,53,17368
"1600854623","1","POST","search_ticket",2.10,0.00,31,32,37,37,38,41,43,43,43,43,43,43,123,0,30,31,25,49,38
"1600854623","1","","Aggregated",3.00,0.00,30,32,32,32,38,41,43,43,43,43,43,43,173,0,29,26,9,53,5046
"1600854625","1","GET","home",0.90,0.00,14,15,19,20,25,25,25,25,25,25,25,25,52,0,13,15,9,53,17368
"1600854625","1","POST","search_ticket",2.40,0.00,31,32,32,32,37,38,43,43,43,43,43,43,128,0,30,31,25,49,38
"1600854625","1","","Aggregated",3.30,0.00,29,31,32,32,37,38,43,43,43,43,43,43,180,0,29,26,9,53,5044
