ID,Users,Memory,CPU,CartReplicas,Metric,createOrder,basket,getCatalogue,getItem,getCart,login,getOrders,catalogue,home,tags,getCustomer,viewOrdersPage,cataloguePage,getRelated,addToCart,catalogueSize,getAddress,getCard,showDetails
55,300,1,0.5,4,Mix % (take failure into account),0.0131,0.0131,0.113,0.0956,0.2261,0.0261,0.0261,0.0305,0.1,0.0304,0.113,0.0261,0.0304,0.0434,0.013,0.0304,0.0131,0.0131,0.0435
56,200,1,0.5,1,Avg (sec),0.055,0.002,0.421,0.422,0.317,0.503,0.055,0.002,0.002,0.42,0.203,0.002,0.424,0.425,0.003,0.423,0.199,0.199,0.002
56,200,1,0.5,1,SD (sec),0.213,0.003,0.493,0.492,0.462,0.608,0.213,0.003,0.003,0.492,0.398,0.002,0.493,0.493,0.008,0.493,0.395,0.395,0.003
56,200,1,0.5,1,Mix % (take failure into account),0.0128,0.0128,0.1136,0.0952,0.2264,0.0263,0.0263,0.0305,0.1007,0.0305,0.1128,0.0263,0.0305,0.0432,0.0128,0.0305,0.0128,0.0128,0.0433
57,50,1,0.5,2,Avg (sec),0.007,0.001,0.004,0.005,0.008,0.014,0.007,0.001,0.001,0.004,0.005,0.001,0.004,0.005,0.002,0.005,0.005,0.005,0.001
57,50,1,0.5,2,SD (sec),0.007,0.001,0.002,0.008,0.014,0.015,0.008,0.002,0.001,0.007,0.007,0.001,0.002,0.008,0.006,0.007,0.007,0.007,0.002
57,50,1,0.5,2,Mix % (take failure into account),0.0128,0.0128,0.1134,0.095,0.2264,0.026,0.026,0.0307,0.1006,0.0307,0.1129,0.026,0.0307,0.0434,0.0128,0.0307,0.0128,0.0128,0.0434
58,250,1,0.25,4,Avg (sec),0.041,0.002,0.292,0.291,1.617,1.173,0.043,0.002,0.002,0.292,0.144,0.002,0.283,0.29,0.003,0.303,0.135,0.145,0.002
58,250,1,0.25,4,SD (sec),0.179,0.004,0.452,0.451,4.447,2.817,0.184,0.004,0.004,0.452,0.344,0.003,0.448,0.451,0.007,0.456,0.336,0.346,0.004
58,250,1,0.25,4,Mix % (take failure into account),0.0131,0.013,0.1131,0.0957,0.2258,0.0261,0.0261,0.0305,0.1001,0.0304,0.113,0.0261,0.0304,0.0434,0.0131,0.0305,0.0131,0.0131,0.0435
59,150,1,0.25,1,Avg (sec),0.012,0.002,0.061,0.062,0.049,0.072,0.011,0.002,0.002,0.059,0.028,0.002,0.059,0.063,0.003,0.059,0.028,0.026,0.002
59,150,1,0.25,1,SD (sec),0.069,0.003,0.232,0.231,0.196,0.243,0.061,0.002,0.002,0.226,0.149,0.002,0.229,0.232,0.008,0.226,0.149,0.142,0.002
59,150,1,0.25,1,Mix % (take failure into account),0.013,0.013,0.1131,0.0955,0.2262,0.0261,0.0261,0.0304,0.1002,0.0304,0.113,0.0261,0.0305,0.0434,0.013,0.0304,0.013,0.013,0.0434
60,50,1,0.5,4,Avg (sec),0.149,0.092,0.147,0.146,0.155,0.254,0.155,0.088,0.089,0.139,0.145,0.09,0.147,0.146,0.037,0.147,0.143,0.144,0.089
60,50,1,0.5,4,SD (sec),0.12,0.078,0.117,0.117,0.12,0.191,0.12,0.072,0.072,0.112,0.115,0.072,0.117,0.117,0.03,0.117,0.116,0.116,0.073
60,50,1,0.5,4,Mix % (take failure into account),0.0129,0.013,0.1132,0.0955,0.2262,0.0261,0.0261,0.0304,0.1003,0.0304,0.113,0.0261,0.0305,0.0435,0.013,0.0304,0.0129,0.013,0.0435
61,50,1,0.25,2,Avg (sec),0.007,0.002,0.004,0.005,0.016,0.029,0.008,0.001,0.001,0.005,0.005,0.001,0.004,0.005,0.003,0.005,0.005,0.005,0.001
61,50,1,0.25,2,SD (sec),0.007,0.001,0.002,0.008,0.022,0.031,0.007,0.001,0.001,0.007,0.008,0.003,0.002,0.008,0.007,0.007,0.007,0.007,0.001
61,50,1,0.25,2,Mix % (take failure into account),0.013,0.013,0.1132,0.0955,0.2261,0.0261,0.0262,0.0304,0.1002,0.0304,0.113,0.0262,0.0304,0.0434,0.0129,0.0304,0.013,0.013,0.0434
62,200,0.5,0.5,2,Avg (sec),0.051,0.002,0.424,0.428,0.315,0.51,0.053,0.002,0.002,0.428,0.208,0.002,0.426,0.422,0.003,0.43,0.207,0.205,0.002
62,200,0.5,0.5,2,SD (sec),0.204,0.004,0.493,0.494,0.461,0.617,0.209,0.002,0.003,0.494,0.402,0.004,0.493,0.493,0.007,0.494,0.401,0.398,0.003
62,200,0.5,0.5,2,Mix % (take failure into account),0.0129,0.0129,0.1131,0.0954,0.2262,0.026,0.026,0.0306,0.1002,0.0306,0.1131,0.026,0.0306,0.0435,0.0129,0.0306,0.0129,0.0129,0.0435
69,2,4,1,1,Avg (sec),0.012,0.002,0.005,0.006,0.014,0.023,0.011,0.002,0.002,0.004,0.006,0.002,0.005,0.007,0.002,0.006,0.007,0.005,0.002
69,2,4,1,1,SD (sec),0.006,0,0.001,0.007,0.02,0.022,0.005,0,0.001,0.004,0.007,0.001,0.001,0.009,0.001,0.006,0.009,0.001,0
69,2,4,1,1,Mix % (take failure into account),0.0129,0.0129,0.1124,0.0952,0.2263,0.0247,0.0252,0.0313,0.0998,0.0313,0.1136,0.0252,0.0313,0.0442,0.0126,0.0313,0.0129,0.0129,0.0442
64,50,0.5,0.25,1,Avg (sec),0.007,0.001,0.004,0.005,0.01,0.021,0.008,0.001,0.001,0.005,0.005,0.001,0.004,0.005,0.003,0.005,0.005,0.005,0.001
64,50,0.5,0.25,1,SD (sec),0.007,0.001,0.002,0.007,0.017,0.026,0.008,0.001,0.001,0.008,0.007,0.002,0.001,0.007,0.007,0.008,0.008,0.008,0.001
64,50,0.5,0.25,1,Mix % (take failure into account),0.0131,0.0132,0.1129,0.0958,0.226,0.026,0.0259,0.0305,0.0997,0.0305,0.1131,0.0259,0.0304,0.0436,0.0131,0.0305,0.0131,0.0132,0.0436
65,300,0.5,0.5,4,Avg (sec),0.056,0.002,0.434,0.432,0.322,0.523,0.057,0.002,0.002,0.431,0.211,0.002,0.429,0.433,0.003,0.432,0.215,0.211,0.002
65,300,0.5,0.5,4,SD (sec),0.213,0.008,0.495,0.494,0.464,0.614,0.217,0.009,0.008,0.494,0.403,0.007,0.494,0.494,0.009,0.494,0.407,0.403,0.008
65,300,0.5,0.5,4,Mix % (take failure into account),0.0131,0.0131,0.113,0.0958,0.226,0.0262,0.0262,0.0303,0.0999,0.0303,0.1131,0.0262,0.0303,0.0434,0.0131,0.0303,0.0131,0.0131,0.0434
66,300,1,0.25,2,Avg (sec),0.008,0.002,0.004,0.005,24.199,15.476,0.008,0.001,0.001,0.004,0.005,0.001,0.004,0.005,0.003,0.006,0.006,0.005,0.001
66,300,1,0.25,2,SD (sec),0.007,0.001,0.002,0.008,29.027,19.329,0.008,0.002,0.002,0.007,0.007,0.001,0.004,0.007,0.007,0.008,0.009,0.007,0.002
66,300,1,0.25,2,Mix % (take failure into account),0.0134,0.0133,0.1131,0.0963,0.2232,0.0256,0.0259,0.0306,0.1,0.0306,0.1138,0.0259,0.0306,0.044,0.0131,0.0306,0.0132,0.0132,0.0437
67,200,0.5,0.25,1,Avg (sec),0.048,0.002,0.412,0.427,0.314,0.517,0.054,0.002,0.002,0.411,0.2,0.002,0.408,0.413,0.003,0.41,0.196,0.203,0.002
